Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Clamp,"-0,0233258079752198","-0,0189733048148376","0,120959528638574",0,0,0,"0,460494456300938","0,000882508213865086","-2,59122688089503E-05","2,1696681697268E-08","0,000491167484016736","3,80444687674658E-08","0,000906035971393882",0,0,0,0,0,0,package://arm_spherical/meshes/Clamp.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://arm_spherical/meshes/Clamp.STL,,CLAMP_SCREW.stp-1;CLAMP_MAIN.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BaseBottom,"0,0275161601893971","0,0146166513581867","-5,39317474984591E-08",0,0,0,"0,10484945725473","7,2709906267008E-05","-1,75624126571964E-05","3,36090561898083E-12","0,000110167023327002","-4,00916785166116E-11","7,6148394145867E-05",0,0,0,0,0,0,package://arm_spherical/meshes/BaseBottom.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://arm_spherical/meshes/BaseBottom.STL,,BASE_BOTTOM.stp-1;SERVO_MAIN.stp-1,Origin_BaseCoincident,,BaseCoincident,fixed,"-0,042533","-0,12096","0,069938","1,5708",0,0,Clamp,0,0,0,,,,,,,,,,,,
Basetop,"0,0177442759556105","0,0502156701824598","5,59712730607842E-08",0,0,0,"0,0616862169128715","3,32770325911918E-05","3,13233432088646E-06","6,41709719283794E-11","6,5760819704772E-05","5,39655506606401E-12","3,59717393927469E-05",0,0,0,0,0,0,package://arm_spherical/meshes/Basetop.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://arm_spherical/meshes/Basetop.STL,,BASE_TOP.stp-1,Origin_Basetop_coincident,,Basetop_coincident,fixed,0,0,0,0,0,0,BaseBottom,0,0,0,,,,,,,,,,,,
Link1,"-0,073231724293926","-0,174495682559919","0,0157674561080342",0,0,0,"0,134387451123297","7,1758516138625E-05","0,000116929954535354","3,81941128933395E-07","0,000341666804259734","8,02702342060214E-07","0,00038896653307721",0,0,0,0,0,0,package://arm_spherical/meshes/Link1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://arm_spherical/meshes/Link1.STL,,LINK1 ROS ROBOT.stp-1;SERVO_MAIN.stp-2,Coordinate System10,Axis_Revolute_1,Base_Revolute,fixed,"-0,010096","0,2308","-0,015",0,0,0,Basetop,0,0,0,0,0,0,0,,,,,,,,
Link2,"-0,139451292762809","-0,0329510200015893","0,000277091219948775",0,0,0,"0,141255683111516","0,000227868250967347","8,7680483880456E-05","1,32043697759105E-07","0,000101148176225664","8,58998343331658E-07","0,000305019266512094",0,0,0,0,0,0,package://arm_spherical/meshes/Link2.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://arm_spherical/meshes/Link2.STL,,LINK2 ROS ROBOT.stp-1;LINK_CAP.stp-1;SERVO_MAIN.stp-3,Coordinate System11,Axis_Revolute_2,Revolute_2,revolute,"-0,036164","-0,036164","0,015",0,0,0,Link1,"0,70711","0,70711",0,0,0,0,0,,,,,,,,
Link3,"-0,148190265926897","-0,041217213228108","1,82467526561869E-06",0,0,0,"0,143472691808633","0,000227308574163085","9,66722469399881E-05","3,60638195162956E-09","0,000154051419490628","-3,4644084442219E-09","0,000360596535382784",0,0,0,0,0,0,package://arm_spherical/meshes/Link3.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://arm_spherical/meshes/Link3.STL,,LINK_CAP.stp-2;LINK3 ROS ROBOT.stp-1;RCM NEEDLE.stp-1,Coordinate System12,Axis_Revolute3,Revolute3,revolute,0,"0,035917",0,0,0,"-0,7854",Link2,"0,70711","0,70711",0,0,0,0,0,,,,,,,,
